iter	Passed	Remaining
0	9	4553
1	16	4175
2	28	4736
3	35	4393
4	44	4382
5	52	4334
6	58	4151
7	65	4028
8	73	4022
9	83	4100
10	93	4160
11	101	4112
12	108	4059
13	115	3999
14	122	3960
15	127	3868
16	135	3852
17	143	3838
18	152	3852
19	159	3825
20	166	3790
21	173	3762
22	180	3739
23	186	3697
24	192	3663
25	199	3632
26	205	3607
27	213	3602
28	221	3593
29	227	3561
30	234	3544
31	240	3514
32	247	3504
33	252	3462
34	260	3459
35	268	3455
36	274	3440
37	280	3411
38	287	3398
39	295	3396
40	302	3387
41	309	3377
42	316	3359
43	324	3359
44	330	3345
45	338	3336
46	345	3328
47	352	3317
48	359	3305
49	365	3289
50	372	3280
51	380	3275
52	387	3264
53	393	3251
54	401	3245
55	410	3253
56	418	3249
57	426	3247
58	433	3240
59	441	3235
60	449	3233
61	456	3225
62	463	3215
63	470	3203
64	477	3195
65	483	3182
66	492	3184
67	500	3179
68	507	3172
69	513	3156
70	522	3157
71	529	3150
72	536	3140
73	544	3132
74	551	3126
75	558	3114
76	565	3106
77	573	3102
78	580	3096
79	587	3085
80	593	3072
81	599	3054
82	606	3044
83	612	3033
84	619	3026
85	626	3017
86	632	3002
87	640	2998
88	646	2987
89	654	2982
90	662	2978
91	669	2969
92	675	2955
93	682	2946
94	689	2939
95	695	2926
96	702	2916
97	709	2908
98	715	2898
99	722	2891
100	729	2882
101	737	2876
102	743	2867
103	750	2859
104	758	2852
105	764	2842
106	772	2835
107	779	2829
108	786	2822
109	793	2814
110	799	2803
111	807	2798
112	821	2812
113	833	2820
114	841	2816
115	847	2807
116	854	2798
117	862	2793
118	870	2785
119	880	2788
120	893	2799
121	903	2800
122	912	2795
123	920	2792
124	929	2789
125	938	2786
126	948	2786
127	957	2782
128	969	2789
129	979	2788
130	988	2784
131	998	2783
132	1008	2782
133	1016	2775
134	1022	2765
135	1030	2756
136	1037	2748
137	1045	2742
138	1053	2735
139	1062	2732
140	1070	2726
141	1078	2718
142	1087	2714
143	1093	2704
144	1100	2693
145	1106	2682
146	1115	2678
147	1122	2670
148	1129	2660
149	1134	2648
150	1142	2640
151	1149	2632
152	1158	2626
153	1165	2618
154	1172	2610
155	1179	2601
156	1187	2593
157	1194	2585
158	1201	2576
159	1207	2565
160	1214	2557
161	1222	2550
162	1229	2541
163	1236	2533
164	1243	2524
165	1251	2517
166	1258	2509
167	1265	2500
168	1271	2490
169	1277	2480
170	1283	2470
171	1291	2463
172	1298	2455
173	1305	2445
174	1312	2437
175	1319	2428
176	1326	2420
177	1333	2413
178	1340	2404
179	1346	2393
180	1354	2386
181	1361	2378
182	1368	2371
183	1375	2362
184	1383	2355
185	1389	2346
186	1398	2341
187	1405	2332
188	1667	2743
189	1889	3082
190	1950	3155
191	1964	3151
192	1982	3153
193	2033	3207
194	2049	3204
195	2091	3243
196	2111	3247
197	2133	3253
198	2170	3283
199	2188	3283
200	2214	3293
201	2230	3290
202	2256	3300
203	2291	3324
204	2317	3334
205	2333	3329
206	2347	3322
207	2360	3313
208	2446	3406
209	2464	3403
210	2487	3407
211	2499	3395
212	2514	3387
213	2529	3380
214	2575	3414
215	2612	3435
216	2631	3431
217	2640	3415
218	2648	3398
219	2657	3381
220	2663	3362
221	2670	3343
222	2677	3326
223	2684	3307
224	2691	3290
225	2702	3276
226	2716	3266
227	2731	3258
228	2742	3245
229	2756	3235
230	2770	3226
231	2783	3215
232	2797	3205
233	2809	3193
234	2821	3181
235	2833	3170
236	2847	3159
237	2859	3148
238	2874	3139
239	2889	3130
240	2903	3120
241	2915	3107
242	2928	3096
243	2943	3087
244	2955	3076
245	2969	3066
246	2980	3052
247	2993	3042
248	3006	3031
249	3021	3021
250	3036	3012
251	3049	3001
252	3091	3018
253	3113	3015
254	3135	3012
255	3143	2996
256	3150	2979
257	3158	2962
258	3165	2945
259	3172	2928
260	3178	2910
261	3185	2893
262	3192	2877
263	3199	2860
264	3207	2843
265	3214	2828
266	3221	2811
267	3227	2793
268	3234	2777
269	3240	2760
270	3246	2743
271	3252	2725
272	3258	2709
273	3265	2693
274	3271	2676
275	3278	2660
276	3286	2645
277	3293	2630
278	3300	2614
279	3308	2599
280	3316	2585
281	3324	2569
282	3330	2553
283	3337	2538
284	3343	2522
285	3350	2506
286	3357	2491
287	3365	2477
288	3371	2461
289	3377	2446
290	3385	2431
291	3393	2417
292	3400	2402
293	3406	2387
294	3413	2372
295	3419	2356
296	3427	2342
297	3434	2328
298	3441	2313
299	3447	2298
300	3454	2284
301	3462	2270
302	3468	2254
303	3474	2239
304	3480	2225
305	3487	2211
306	3495	2197
307	3501	2182
308	3508	2168
309	3512	2152
310	3519	2139
311	3526	2125
312	3533	2110
313	3540	2097
314	3547	2083
315	3554	2069
316	3560	2055
317	3568	2042
318	3575	2028
319	3583	2015
320	3590	2001
321	3597	1988
322	3603	1974
323	3610	1961
324	3617	1947
325	3622	1933
326	3627	1919
327	3632	1904
328	3639	1891
329	3647	1878
330	3654	1865
331	3660	1852
332	3667	1839
333	3674	1826
334	3681	1813
335	3687	1800
336	3694	1787
337	3701	1773
338	3708	1761
339	3712	1747
340	3719	1734
341	3726	1721
342	3733	1709
343	3740	1696
344	3747	1683
345	3754	1670
346	3761	1658
347	3768	1646
348	3775	1633
349	3780	1620
350	3785	1607
351	3792	1594
352	3800	1582
353	3807	1570
354	3814	1558
355	3822	1546
356	3830	1534
357	3837	1522
358	3845	1510
359	3850	1497
360	3858	1485
361	3864	1473
362	3871	1460
363	3878	1449
364	3884	1436
365	3891	1424
366	3899	1413
367	3905	1401
368	3912	1389
369	3919	1377
370	3926	1365
371	3931	1352
372	3938	1340
373	3946	1329
374	3953	1317
375	3958	1305
376	3965	1293
377	3971	1281
378	3978	1270
379	3983	1257
380	3990	1246
381	3995	1234
382	4003	1223
383	4011	1211
384	4018	1200
385	4026	1189
386	4032	1177
387	4038	1165
388	4043	1153
389	4048	1142
390	4055	1130
391	4062	1119
392	4068	1107
393	4077	1096
394	4085	1085
395	4090	1074
396	4097	1063
397	4103	1051
398	4108	1040
399	4113	1028
400	4120	1017
401	4127	1006
402	4135	995
403	4142	984
404	4150	973
405	4156	962
406	4162	951
407	4169	940
408	4177	929
409	4185	918
410	4192	907
411	4199	897
412	4206	886
413	4213	875
414	4220	864
415	4225	853
416	4232	842
417	4239	831
418	4245	820
419	4253	810
420	4258	799
421	4265	788
422	4272	777
423	4277	766
424	4282	755
425	4288	744
426	4292	733
427	4299	723
428	4305	712
429	4312	702
430	4317	691
431	4323	680
432	4330	670
433	4337	659
434	4345	649
435	4352	638
436	4358	628
437	4364	617
438	4371	607
439	4376	596
440	4383	586
441	4390	576
442	4397	565
443	4403	555
444	4412	545
445	4417	534
446	4423	524
447	4431	514
448	4437	504
449	4443	493
450	4450	483
451	4457	473
452	4462	463
453	4468	452
454	4476	442
455	4483	432
456	4489	422
457	4496	412
458	4503	402
459	4508	392
460	4515	382
461	4522	371
462	4526	361
463	4534	351
464	4542	341
465	4548	331
466	4554	321
467	4558	311
468	4564	301
469	4571	291
470	4578	281
471	4583	271
472	4590	262
473	4598	252
474	4607	242
475	4614	232
476	4620	222
477	4629	213
478	4634	203
479	4640	193
480	4644	183
481	4652	173
482	4659	164
483	4666	154
484	4674	144
485	4679	134
486	4687	125
487	4694	115
488	4701	105
489	4708	96
490	4715	86
491	4720	76
492	4726	67
493	4732	57
494	4739	47
495	4744	38
496	4751	28
497	4758	19
498	4765	9
499	4772	0
